Id,MovieName,MoviePoster,MovieRating,PGRating,MovieDuration,ReleaseDate,Director,Actor,Writer,MovieGenre,Story
916,Roseanna's Grave (1997) ,"https://m.media-amazon.com/images/M/MV5BMTYwNDcxNjU2OV5BMl5BanBnXkFtZTcwMDMyMzMzMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",7.2,PG-13,1h 38min," 18 June 1997 (USA)
    ",Paul Weiland,"Jean Reno,Mercedes Ruehl,Polly Walker",," Comedy, Romance, Drama","    Roseanna is dying of a heart condition, and all she wants is to be buried next to her daughter, in a cemetery that is getting full fast. The cemetery can't expand because Capestro, the man who owns the land next to the cemetery, won't sell. While Marcello is doing good deeds to make sure no one dies, Roseanna thinks of Marcello's future."
917,Tetsuo II: Body Hammer (1992) ,"https://m.media-amazon.com/images/M/MV5BNDFmMjAwYWEtYjk1YS00NzMxLTg0NGYtNjkwMjI1NjY2MTBlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY268_CR3,0,182,268_AL_.jpg",6.4,R,1h 23min," Tetsuo - Vasember 2.
      ",Shin'ya Tsukamoto,"Tomorô Taguchi,Shin'ya Tsukamoto,Nobu Kanaoka",," Horror, Sci-Fi","    Sequel to ""Tetsuo"" this time has the Iron Man transforming into cyberkinetic gun when a gang of vicious skinheads kidnap his son. When the skinheads capture him, they begin to experiment on him...speeding up the mutative process!"
918,The Whole Wide World (1996) ,"https://m.media-amazon.com/images/M/MV5BMzg5YWIxZTgtODJiZC00ZDQ2LWFjYTUtNDNkMjlkZGZmN2I0XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_UY268_CR9,0,182,268_AL_.jpg",7.1,PG,1h 51min," 20 December 1996 (USA)
    ",Dan Ireland,"Vincent D'Onofrio,Renée Zellweger,Ann Wedgeworth",Novalyne Price Ellis," Biography, Drama, Romance","    In Texas in the 1930s, young schoolteacher Novalyne Price meets a handsome, eccentric, interesting young man named Robert Howard. He's a successful writer - of the pulp stories of 'Conan the Barbarian'; she's an aspiring one. A friendship develops into a sort of courtship. Based on a memoir by Novalyne Price."
919,The Locusts (1997) ,"https://m.media-amazon.com/images/M/MV5BNjA4NjUyNzU4MV5BMl5BanBnXkFtZTcwNTUzNzA2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,R,2h 4min," 3 October 1997 (USA)
    ",John Patrick Kelley,"Kate Capshaw,Jeremy Davies,Vince Vaughn",, Drama,"    In the 50's, the drifter Clay Hewitt arrives in a small town in the countryside of Kansas and befriends the locals Kitty, Earl and his girlfriend Patsy after punching their friend Joel Carter in a bar. Clay asks for a job to raise money to go to California, and Earl drives him to the ranch of the widow Delilah Ashford Potts to work with him in the slaughterhouse. Mrs. Potts is an alcoholic and promiscuous woman and hires Clay and let him stay in the barn. When Clay meets her son Joseph ""Flyboy"" Potts, he learns that he has just returned from a mental institution after eight years and he does not speak a word to anybody. Further, his only friend is a bull called Jim that belonged to his father. Clay falls in love with Kitty and gets close to Flyboy that becomes his friend and slowly changes his behavior. When Clays decides to leave the town, he discloses a dark secret to Kitty. Meanwhile Flyboy's change of attitude unleashes a series of evil events and revelations from Mrs. Potts."
920,Swept from the Sea (1997) ,"https://m.media-amazon.com/images/M/MV5BZmM2N2M2YWMtNzNlMC00ODYxLWI5OGMtODgzZmMzODE4MDE2XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,PG-13,1h 55min," Amy Foster
      ",Beeban Kidron,"Rachel Weisz,Vincent Perez,Ian McKellen",Joseph Conrad," Drama, Mystery, Romance","    The film tells the story of Russian émigré, and the only survivor from ship crash Yanko Goorall, and servant Amy Foster in the end of nineteenth century. When Yanko enters a farm, sick and hungry after the shipwreck, everyone is afraid of him, except for Amy, who is very kind and helps him. Soon he becomes like a son for Dr. James Kennedy and romance between Yanko and Amy follows."
921,Hurricane (1997) ,"https://m.media-amazon.com/images/M/MV5BMTI5MTg5MjU3N15BMl5BanBnXkFtZTYwODEzMjY5._V1_UX182_CR0,0,182,268_AL_.jpg",6.4,R,1h 26min," Hurricane Streets
      ",Morgan J. Freeman,"Brendan Sexton III,Shawn Elliott,Antoine McLean",," Crime, Drama, Romance","    Marcus is a kid on Manhattan's mean streets. He's turning 15, his father is dead, his mother is in prison for smuggling undocumented aliens. His grandmother is raising him. He has four close buddies who have a basement clubhouse; they shoplift and sell the wares to kids. One is moving toward selling drugs. Marcus wants to take a breather from the city and visit family in New Mexico. He also meets Melena, 14, a sweet kid who dreams of going to Alaska; her father is not just protective but angry and uncommunicative. The gang pressures Marcus to move up to burglary and car theft. He just wants to breathe open air. Can anything go right?"
922,Stonewall (1995) ,"https://m.media-amazon.com/images/M/MV5BMTUxMDk3NDU3N15BMl5BanBnXkFtZTcwNzc3OTIyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",7,R,1h 39min," Стоунвол
      ",Nigel Finch,"Guillermo Díaz,Frederick Weller,Brendan Corbalis",Rikki Beadle Blair," Comedy, Drama, Romance","    Who could have guessed that a bunch of men in dresses would breath life into the movement to win equal rights for gay men and lesbians? Certainly not the police who raided the Stonewall Inn, a popular ""drag"" bar in Greenwich Village. After a long history of police raids, extortion, and brutality, a gaggle of drag queens at the Stonewall decide they have had enough and begin to riot when the police try to load them into a paddy wagon. Told by ""La Miranda"" (Hector), a regular customer at the Stonewall Inn, the film is a recounting of events that led up to that fateful day in 1969. ""Matty Dean"" is the handsome angry young man that La Miranda meets at the Stonewall one day and with whom she/he quickly falls in love. ""Bostonia"" is the self-styled Queen Mother of the drag queens and guides each initiate gently ""into the life."" Her lover, Vinnie, is the closeted proprietor of the Stonewall. His tragic response to the suffocation he feels bearing down on him from a homophobic world -- perhaps..."
923,Stranger in the House (1997) ,"https://m.media-amazon.com/images/M/MV5BMTg1MTg1NDE1OF5BMl5BanBnXkFtZTcwNzA2OTQxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.3,R,1h 34min,"
",Rodney Gibbons,"Michele Greene,Bruce Dinsmore,Steve Railsback","William Hoy,Peter Liapis", Thriller,"    A botched diamond burglary and a dead publishing company executive set off a string of murders and betrayal in this suspensful, nonstop thriller!"
924,Picture Bride (1994) ,"https://m.media-amazon.com/images/M/MV5BY2M2NGIzYzktYjQ3ZS00YjZkLWJjOTQtYWE0YWRhY2RmZmU3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,PG-13,1h 34min," A Mulher Prometida
      ",Kayo Hatta,"Yûki Kudô,Akira Takayama,Cary-Hiroyuki Tagawa","Kayo Hatta,Kayo Hatta"," Drama, Romance","    The story of 16-year-old Riyo who journeys to Hawaii in 1918 to marry a man she has never met, except through photographs and letters they have exchanged. Hoping to escape a troubled past and to start anew, Riyo is bitterly disappointed upon her arrival: her husband is twice her age and Hawaii is not the paradise she expected. As Riyo comes to terms with her new home, she discovers a land full of hardship, struggle--and unexpected joy."
925,M. Butterfly (1993) ,"https://m.media-amazon.com/images/M/MV5BODhhMGEwOGEtNDJjMi00OWQ1LThlZjItNTk3Y2IzZThlNjdkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,R,1h 41min,"
",David Cronenberg,"Jeremy Irons,John Lone,Barbara Sukowa",David Henry Hwang," Drama, Romance","    During the Cultural Revolution in China in the mid-1960s, a French diplomat falls in love with a singer in the Beijing Opera. Interwoven with allusions to the Puccini opera ""Madama Butterfly"", a story of love and betrayal unfolds."
926,Io speriamo che me la cavo (1992) ,"https://m.media-amazon.com/images/M/MV5BYjIyNmYxNzctNjYzMi00OTNkLWFhYjUtY2M5OTJlMjY3OTU0XkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_UY268_CR13,0,182,268_AL_.jpg",6.9,R,1h 40min,"
",Lina Wertmüller,"Paolo Villaggio,Isa Danieli,Gigio Morra","Alessandro Bencivenni,Leonardo Benvenuti", Comedy,"    Marco Sperelli is a teacher, he is divorced and he is sent to work in Corzano, a town near Naples. The first day of work he finds in the school only the school-caretaker and few girls and boys in the class-room. He goes out looking for them and he discovers then a wretched life led by the boys and the girls of Corzano. A life in which only power and violence are worth respecting. Sperelli tries to teach something different but he gets their respect only by slapping Raffaele, on the way to became a camorrist. His presence and his work, however, disturb too many persons and he will be transferred."
927,When Night Is Falling (1995) ,"https://m.media-amazon.com/images/M/MV5BNGUxMDM1ODEtZjhjZi00NjVjLWEwNmUtNmZmOTQ1MzQxNmQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR1,0,182,268_AL_.jpg",6.5,R,1h 34min," Cuando cae la noche
      ",Patricia Rozema,"Pascale Bussières,Rachael Crawford,Henry Czerny",," Drama, Romance","    Camille and Martin are in love and teachers at a christian college; they get the opportunity to get a better job, but they would have to marry for that. But when Camille's dog dies, she recognizes that her love for Martin is not even as big as the love for her dog. After that, Camille gets to know Petra, and Petra falls in love with Camille. They meet again, but Camille is very unsure about her feelings. When Martin is away for a weekend, Camille and Petra meet in the Circus where Petra is working as an acrobat. They spend the night together, but Martin finds out about it and is shocked. He has an argument with Camille, and she goes burying her dog in the snow, and falls asleep..."
928,The Specialist (1994) ,"https://m.media-amazon.com/images/M/MV5BYjMwZDMwZTItMTc2MC00NDRlLWI3YmUtNTg0ZmQ3MzdhNDJmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg",5.6,R,1h 50min," El especialista
      ",Luis Llosa,"Sylvester Stallone,Sharon Stone,James Woods",John Shirley," Action, Crime, Drama, Thriller","    Ray Quick is a bomb expert who worked for the CIA along with a guy named Ned Trent, who's extremely demented. When they have a falling out, Ray becomes a freelancer who lives off the grid. A woman named May Munro contacts and wants him to kill the three men who killed her family years ago, who work for the Leon crime family. Ray does it and after killing the first one, the Leons need to find the one who did it and it turns out Ned is now working for them and they task him with finding the bomber. The Leons get him to work with the police and he looks for the bomber. In the meantime Ray, while working on getting the others, can't help but follow May wherever she goes."
929,Sugar Hill (1993) ,"https://m.media-amazon.com/images/M/MV5BYzg0M2E2NjUtOTY3YS00MGQ2LWFmZDEtOTkwNmI2MmI2YjMwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9,R,2h 3min," Harlem
      ",Leon Ichaso,"Wesley Snipes,Michael Wright,Khandi Alexander",," Crime, Drama, Thriller","    Hardened, uncomprimising drug dealer Roemello Skuggs decides to quit his scumbag profession so he may start a new life with his girlfriend. However, he soon learns getting out is nowhere near as easy as getting in, as everything gradually builds up to end in tragedy."
930,Street Fighter (1994) ,"https://m.media-amazon.com/images/M/MV5BY2JhYjUzYzAtMWFhMi00YzIyLTllZGQtMTAzNThkNTJhNTBmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",3.9,PG-13,1h 42min," 23 December 1994 (USA)
    ",Steven E. de Souza,"Jean-Claude Van Damme,Raul Julia,Ming-Na Wen",," Action, Adventure, Comedy, Thriller","    Col. William Guile leads an army of soldiers into the country of Shadaloo to find traces to lead him to General M. Bison, who has captured many people including three missing soldiers. Among them is Carlos ""Charlie"" Blanka, in which Bison decides to turn into a hideous mutant. On the other hand, Chun Li is a reporter who seeks revenge against Bison for the death of her father years ago. Then two small time hustlers Ryu and Ken, are arrested along with Sagat, a powerful arms dealer and Vega for dealing of illegal weapons. Guile recruits them in order to find Bison's base. Now Guile, T. Hawk, Cammy, Ryu, Ken, Chun Li, Balrog and E. Honda have three days before Bison murders the hostages and takes over the world."
931,Coldblooded (1995) ,"https://m.media-amazon.com/images/M/MV5BMTk5NDM3OTE0OV5BMl5BanBnXkFtZTYwNTkwMjQ5._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,R,1h 32min," A Sangue Frio
      ",Wallace Wolodarsky,"Jason Priestley,Kimberly Williams-Paisley,Peter Riegert",," Action, Comedy, Thriller","    Cosmo, an affectless mob bookie who lives in the basement of a retirement home, is promoted to hitman. He learns his new trade from Steve, a seasoned killer. He falls in love with a yoga teacher, Jasmine, and must figure out a way to leave the mob so they can be together."
932,The Next Karate Kid (1994) ,"https://m.media-amazon.com/images/M/MV5BYzQwOTVkZmQtMDMwNS00ZTQzLTlkODUtOWI0NDZkMjYxNWUwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",4.4,PG,1h 47min," Karate Kid 4
      ",Christopher Cain,"Pat Morita,Hilary Swank,Michael Ironside",Robert Mark Kamen," Action, Drama, Family, Romance, Sport","    During a commemoration for Japanese soldiers fighting in the US Army during World War II, Mr. Miyagi meets the widow of his commanding officer. He gets to know her granddaughter Julie, an angry teenager who is still feeling the pain of losing both her parents in an accident and is having problems with her grandmother and her fellow pupils. Mr. Miyagi decides to teach her karate to get her through her pain and issues and back on the right path."
933,No Escape (1994) ,"https://m.media-amazon.com/images/M/MV5BNzQ3ODA1ODc4N15BMl5BanBnXkFtZTgwMDI4MzgxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,R,1h 58min," Fuga de Absolom
      ",Martin Campbell,"Ray Liotta,Lance Henriksen,Stuart Wilson","Richard Herley,Michael Gaylin"," Action, Drama, Sci-Fi, Thriller","    Robbins is sentenced to prison for the assassination of his general officer, a prison you leave only when you die. Since nobody ever leaves the prison, nobody knows what the prison is like. The prison manager realizes this and buys himself an island playground called ""Absolom,"" where the worst prisoners are free to create an isolated barbaric society, and where the strongest men rule...a living hell. Robbins is sent to Absolom after he almost kills the prison manager."
934,The Turning (1992) ,"https://m.media-amazon.com/images/M/MV5BMTg2MDcyMjE5OF5BMl5BanBnXkFtZTcwNTcwNTUxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",4.6,R,1h 31min," Pocahontas, Virginia
      ",L.A. Puopolo,"Karen Allen,Raymond J. Barry,Michael Dolan","L.A. Puopolo,Chris Ceraso", Drama,"    After 4 years, Clifford Harnish returns to his hometown of Pocahontas, Virginia, hoping to save his family and make for himself the happy childhood he never had. Unfortunately, he has arrived just in time to see his parents' divorce made final. He also gets to watch his mother sink into an alcoholic depression while his father builds a new life with a new woman. Soon Cliff decides to take matters into his own hands, using the methods he learned while traipsing the country with Neo-Nazis. Adapted from the play ""Home Fires Burning."""
935,Mi vida loca (1993) ,"https://m.media-amazon.com/images/M/MV5BOWNhOWRhZGItZTdmNC00YjMyLTk2MzYtYjZjMDUwYmQ4NTljXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY268_CR2,0,182,268_AL_.jpg",6.5,R,1h 32min," My Crazy Life
      ",Allison Anders,"Angel Aviles,Seidy Lopez,Jacob Vargas",," Crime, Drama","    Mousie and Sad Girl are childhood best friends in a contemporary Los Angeles poor Hispanic neighborhood. But when Sad Girl becomes pregnant by Mousie's boyfriend, a drug dealer named Ernesto, the two become bitter enemies. While their dispute escalates towards violence, the violence of the world around them soon also impacts their lives."
936,I Like It Like That (1994) ,"https://m.media-amazon.com/images/M/MV5BMTIyODAzNjAyNF5BMl5BanBnXkFtZTcwNjc3ODUyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",6.9,R,1h 44min," Assim Te Quero Meu Amor
      ",Darnell Martin,"Luna Lauren Velez,Jon Seda,Tomas Melly",," Comedy, Drama, Romance","    Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes to jail and Lisette gets a good job uptown. Can this marriage be saved?"
937,I'll Do Anything (1994) ,"https://m.media-amazon.com/images/M/MV5BYmZlM2ZlNGQtYmNmYS00ZDkxLWJiMWEtMmViZmI2MGNkNDE1XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",5.5,PG-13,1h 55min,"
",James L. Brooks,"Nick Nolte,Albert Brooks,Whittni Wright",," Comedy, Drama","    Matt Hobbs is a talented but unsuccessful actor. When estranged (and strange) ex-wife Beth dumps their daughter Jeannie on Matt, father and daughter have a lot of adjusting to do. His budding relationship with attractive production assistant Cathy Breslow is made complicated, while the precocious child is overly accustomed to getting her own way. Matt eventually faces the choice of family versus career in a particularly difficult way."
938,Grace of My Heart (1996) ,"https://m.media-amazon.com/images/M/MV5BMTkxMzMxNzM2NF5BMl5BanBnXkFtZTYwMTY3NzU5._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,R,1h 56min," A Sombra de Um Génio
      ",Allison Anders,"Illeana Douglas,John Turturro,Sissy Boyd",," Comedy, Drama, Music","    An aspiring singer, Denise Waverly/Edna Buxton, sacrifices her own singing career to write hit songs that launch the careers of other singers. The film follows her life from her first break, through the pain of rejection from the recording industry and a bad marriage, to her final triumph."
939,Drunks (1995) ,"https://m.media-amazon.com/images/M/MV5BMTI4MTQ4MDI5NF5BMl5BanBnXkFtZTcwMzgyMjAyMQ@@._V1_UY268_CR8,0,182,268_AL_.jpg",6.4,R,1h 30min," Alcohòlics
      ",Peter Cohn,"Richard Lewis,Liza Harris,Liam Ahern",Gary Lennon, Drama,"    At the beginning of a nightly Alcoholics Anonymous meeting, Jim seems particularly troubled. His sponsor encourages him to talk that night, the first time in seven months, so he does - and leaves the meeting right after. As Jim wanders the night, searching for some solace in his old stomping grounds, bars and parks where he bought drugs, the meeting goes on, and we hear the stories of survivors and addicts - some, like Louis, who claim to have wandered in looking for choir practice, who don't call themselves alcoholic, and others, like Joseph, whose drinking almost caused the death of his child - as they talk about their lives at the meeting."
940,Ill Gotten Gains (1997) ,"https://m.media-amazon.com/images/M/MV5BODg5NTExZjEtY2NiZi00MjA4LWEzNDAtYTc5MGU4OTk3NGM0XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY268_CR5,0,182,268_AL_.jpg",5,R,1h 41min,"
",Joel B. Marsden,"Djimon Hounsou,Akosua Busia,De'aundre Bonds","Joel B. Marsden,Joel B. Marsden"," Drama, History","    WEST AFRICA 1869 - Slave trade is illegal. There is a revolt on a slave ship - twenty four men fight for their lives. Out-gunned, the revolt fails but a second uprising is planned."
941,Mighty Joe Young (1998) ,"https://m.media-amazon.com/images/M/MV5BN2NjODU2MjktMzU5YS00MGIxLWE5ZWYtZGVjN2JmNGNmZDY0XkEyXkFqcGdeQXVyNzMwNTgzMzU@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6,PG,1h 54min," 25 December 1998 (USA)
    ",Ron Underwood,"Bill Paxton,Charlize Theron,Rade Serbedzija","Merian C. Cooper,Ruth Rose"," Action, Adventure, Family, Fantasy, Thriller","    The baby gorilla left in her care grows up to become a hugely tall and broad specimen by the name of Joe, living in the mountains as a mostly unseen legend among people who live there. Along comes an eco-minded emissary from a California sanctuary, who talks the jungle girl into providing safe haven for Joe at the L.A. facility. The transition is not without discomfort, but everything is aggravated via a conspiracy of poachers to get Joe into their own greedy hands!"
942,Shooting Fish (1997) ,"https://m.media-amazon.com/images/M/MV5BZDY0Yzk0YTItMDNkNC00MjM2LTk0NTAtZWMwNGZkMDA4Y2Q0XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.6,PG,1h 49min," Atirando em Peixes
      ",Stefan Schwartz,"Dan Futterman,Stuart Townsend,Kate Beckinsale",Stefan Schwartz," Comedy, Crime, Romance","    Dylan and Jez are con artists, Dylan is a charming American who's run from some characters in the states and Jez is an English techno nerd. During one of their scams selling a voice recognition computer they hire Georgie as a secretary for the job. The romantic triangle between Dylan, Jez and Georgie appears, but she is also not a secretary, but a student, and her marriage with rich Roger is upcoming."
943,Steal Big Steal Little (1995) ,"https://m.media-amazon.com/images/M/MV5BN2RjYzZhZmUtNThhMi00OTE1LTljNjgtYTM1MjFlNjZjMzE3XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",4.7,PG-13,2h 15min," Blodspengar
      ",Andrew Davis,"Andy Garcia,Alan Arkin,Rachel Ticotin","Andrew Davis,Teresa Tucker-Davies", Comedy,"    Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love."
944,Mr. Jones (1993) ,"https://m.media-amazon.com/images/M/MV5BNjg1OTc2NjU5OV5BMl5BanBnXkFtZTcwNjMwNDAyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",5.8,R,1h 54min," Aghaye Jones
      ",Mike Figgis,"Richard Gere,Lena Olin,Anne Bancroft","Eric Roth,Eric Roth"," Drama, Romance","    The story about the relationship between a manic depressive man, Mr Jones, and the female doctor who takes more than a professional interest in his treatment."
945,House Party 3 (1994) ,"https://m.media-amazon.com/images/M/MV5BNjIwMTNlZTEtMDk3Yy00NmE2LThjYjYtMmQ3OGI3YTBkOWIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",4.6,R,1h 40min," House Party 3: The Bachelor Party
      ",Eric Meza,"Christopher Reid,Christopher Martin,David Edwards","Reginald Hudlin,David Toney"," Comedy, Music, Romance","    Come to a new House Party, where Kid, after a lifetime 'playing the field', falls in love and is about to get married. 'Play' plans to throw the rockin'est bachelor party ever - until 'Kid's' three wise-crackin' nephews come to town, intent on showing 'Kid' and 'Play' what parties are all about..."
946,Panther (1995) ,"https://m.media-amazon.com/images/M/MV5BZTI0MDVhY2QtMzdmYy00ZjVmLWFjMTUtNTFmZjUyMzFmZTA4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5,R,2h 4min," A fekete párduc
      ",Mario Van Peebles,"Kadeem Hardison,Bokeem Woodbine,Joe Don Baker",Melvin Van Peebles, Drama,    Panther is a semi-historic film about the origins of The Black Panther Party for Self-Defense. The movie spans about 3 years (1966-68) of the Black Panther's history in Oakland. Panther also uses historical footage (B/W) to emphasize some points.
947,Jason's Lyric (1994) ,"https://m.media-amazon.com/images/M/MV5BMTgzMjQ1MjIwM15BMl5BanBnXkFtZTcwODIzOTkyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,1h 59min," A Face da Verdade
      ",Doug McHenry,"Allen Payne,Jada Pinkett Smith,Bokeem Woodbine",," Crime, Drama, Romance","    The story of a young man, Jason (Allen Payne) who must confront his trauma-induced insecurity about love, as well as a sense of owed responsibility to his mother and troubled brother Joshua (Bokeem Woodbine). Jason, an assistant manager and sales clerk at an electronics store, falls in love with Lyric (Jada Pinkett Smith) and finds happiness, but his family history and mentally ill war veteran father, Maddog (Forest Whitaker) plague his life's plans before he can leave it all for a better life."
948,Above the Rim (1994) ,"https://m.media-amazon.com/images/M/MV5BNDE5M2I4OWEtZDUyMS00ODYwLTkxNWYtZmNlNjEzOWRlYjc0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,1h 36min," Above the Rim - Nahe am Abgrund
      ",Jeff Pollack,"Duane Martin,Tupac Shakur,Leon","Jeff Pollack,Benny Medina"," Crime, Drama, Sport, Thriller","    Story of Kyle-Lee Watson, a promising high school basketball star, and his relationships with Birdie, a powerful drug dealer, and Birdie's brother, Thomas 'Shep' Sheppard, himself once a promising high school star at Kyle's school, now employed as a security guard."
949,Moonlight and Valentino (1995) ,"https://m.media-amazon.com/images/M/MV5BYjBhZDFhYWMtYTA0MS00NTZkLWI2YTAtMGJmZmVlNmE3YmE1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.7,R,1h 45min," Moonlight et Valentino
      ",David Anspaugh,"Elizabeth Perkins,Whoopi Goldberg,Kathleen Turner",Ellen Simon," Comedy, Drama, Romance","    College poetry professor and poet Rebecca Trager Lott's husband Ben Lott has just died in a freak accident. Rebecca's support during this difficult time consists of her best friend Sylvie Morrow, her sister Lucy Trager, and her ex-stepmother Alberta Trager. Earth mother Sylvie is dealing with what she sees as the probable end of her own marriage to her husband Paul Morrow. Chain smoking Lucy is a directionless and insecure woman who is still mourning their mother's death fourteen years earlier from cancer. And Wall Street executive Alberta, who Lucy in particular doesn't like in her life (especially as Alberta and their father have since divorced) is a domineering but admittedly efficient woman who treats her personal life as an extension of her professional life. As time progresses and each woman deals with her own issues while trying to help Rebecca, a hunky house painter who they have nicknamed ""Valentino"" enters their collective lives. ""Valentino"" profoundly affects each of their ..."
950,8 Seconds (1994) ,"https://m.media-amazon.com/images/M/MV5BYjY4Nzk5NzItYjAyNy00NzgwLTgwMTQtMTM4MDkyOTk0ODFjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR0,0,182,268_AL_.jpg",6.6,PG-13,1h 45min," The Lane Frost Story
      ",John G. Avildsen,"Luke Perry,Stephen Baldwin,James Rebhorn",," Biography, Drama, Sport, Western","    This film chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert."
951,Ladybird Ladybird (1994) ,"https://m.media-amazon.com/images/M/MV5BNTkzMjg3NmEtNTY5MS00MTE5LWFlZjUtMjVmZmI4YzllZGE4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY268_CR1,0,182,268_AL_.jpg",7.4,R,1h 41min,"
",Ken Loach,"Crissy Rock,Vladimir Vega,Sandie Lavelle",, Drama,"    This Ken Loach docu-drama relates the story of a British woman's fight with Social Services over the care of her children. Maggie has a history of bouncing from one abusive relationship to another. She has four children, of four different fathers, who came to the attention of Social Services when they were injured in a fire. Subsequently, Maggie was found to be an ""unfit mother"" and her children were removed from her care. She finally meets the man of her dreams, a Paraguayan expatriate, and they start a family together. Unfortunately, Social Services seems unwilling to accept that her life has changed and rends them from their new children. She and Jorge together, and separately, fight Social Services, Immigration, and other government bureaucrats in a desperate battle to make their family whole again."
952,Bye Bye Love (1995) ,"https://m.media-amazon.com/images/M/MV5BMjMxY2Y4YjEtYTQ2MC00ZjM2LTg0MDYtNmUyOTczMjdmMTlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,PG-13,1h 46min," Au revoir mon amour
      ",Sam Weisman,"Matthew Modine,Randy Quaid,Paul Reiser",Gary David Goldberg, Comedy,"    This is a story about the breakup of the family. In particular, it focuses on the lifestyle of three divorced men. The film is presented from their perspective and it reveals their relationship with their children, ex-wives, girl friends, male friendships, and their identities as divorced men. In addition to dealing with divorce, the film touches on spousal loss and young adult homelessness. The film can be considered a social commentary that is both comical and emotional."
953,Century (1993) ,"https://m.media-amazon.com/images/M/MV5BMTM1ODYwNzI1OF5BMl5BanBnXkFtZTcwNjMxODcxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6,R,1h 52min,"
",Stephen Poliakoff,"Charles Dance,Clive Owen,Miranda Richardson",," Drama, Romance","    Paul Reisner, a young doctor, becomes a researcher in a prestigious medical institute. He feels he has a chance to be part of a movement of unending progress in science and civilization. Then he begins to discover the dark side of the institute, which foreshadows the dark side of the 20th century."
